,Muestra,ID lata,lata peso (g),suelo fresco (g),lata + suelo seco (g),suelo seco (g),densidad aparente (con rocas) g/cm3,masa rocas (g),masa suelo (g) ,densidad aparente (sin rocas),,cilindro de muestreo,,
V1,V1-3,11,15.42,714.29,645.86,630.44,0.93,,,,,Area,45.3416,cm2
V1,V1-5,10,15.42,748.11,668.06,652.64,0.96,,,,,Alto,15,cm
V1,V1-2,9,15.48,821.06,740.99,725.51,1.07,,,,,Volumen,680.124,cm3
V1,V1-4,8,15.49,799.31,715.01,699.52,1.03,,,,,,,
V1,V1-1,7,15.45,732.57,693.4,677.95,1.00,,,,,,,
V2,V2-2,6,15.42,486.26,411.25,395.83,0.58,,,,,,,
V2,V2-4,5,15.53,381.96,261.48,245.95,0.36,,,,,,,
V2,V2-3,4,15.51,573.74,458.56,443.05,0.65,,,,,,,
V2,V2-1,3,15.43,552.6,519.03,503.6,0.74,,,,,,,
V3,V3-4,12,15.51,638.88,518.98,503.47,0.74,,,,,,,
V3,V3-1,2,15.49,821.97,694.54,679.05,1.00,,,,,,,
V3,V3-2,1,15.46,730.83,603.45,587.99,0.86,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
B1&2,V1 avg,1.00,0.055123728,,,,,,,,,,,
B3,V2 avg,0.58,0.16173875,,,,,,,,,,,
B4,V3 avg,0.87,0.129109247,,,,,,,,,,,
,OVERALL,0.83,0.214839202,,,,,,,,,,,