Collar,Block,Plot,Treatment,sensorID
3-13-war,3,13,warming,94206101
1-7-con,1,7,control,94206102
4-15-war,4,15,warming,94206103
3-12-con,3,12,control,94206104
4-15-con,4,15,control,94206105
1-9-con,1,9,control,94206106
3-12-war,3,12,warming,94206107
1-4-con,1,4,control,94206108
2-1-war,2,1,warming,94206109
1-9-war,1,9,warming,94206110
3-3-war,3,3,warming,94206111
3-14-war,3,14,warming,94206112
2-17-war,2,17,warming,94206113
2-1-con,2,1,control,94206114
2-10-con,2,10,control,94206115
2-10-war,2,10,warming,94206116
2-20-war,2,20,warming,94206117
2-17-con,2,17,control,94206118
4-8-war,4,8,warming,94206119
4-11-con,4,11,control,94206120
2-20-con,2,20,control,94206121
4-19-war,4,19,warming,94206122
4-11-war,4,11,warming,94206123
3-14-con,3,14,control,94206124
3-13-con,3,13,control,94206125
1-7-war,1,7,warming,94206126
4-8-con,4,8,control,94206127
4-19-con,4,19,control,94206128
3-3-con,3,3,control,94206129
1-4-war,1,4,warming,94206130