ID USUARIO,Block,Plot,Treat,Treatment
1-2-con,1,2,con,control
1-4-con,1,4,con,control
1-5-con,1,5,con,control
1-7-con,1,7,con,control
1-9-con,1,9,con,control
2-17-con,2,17,con,control
2-18-con,2,18,con,control
2-20-con,2,20,con,control
3-3-con,3,3,con,control
3-12-con,3,12,con,control
3-14-con,3,14,con,control
3-16-con,3,16,con,control
4-6-con,4,6,con,control
4-8-con,4,8,con,control
4-11-con,4,11,con,control
4-15-con,4,15,con,control
4-19-con,4,19,con,control
1-2-war,1,2,war,warming
1-4-war,1,4,war,warming
1-5-war,1,5,war,warming
1-7-war,1,7,war,warming
1-9-war,1,9,war,warming
2-17-war,2,17,war,warming
2-18-war,2,18,war,warming
2-20-war,2,20,war,warming
3-3-war,3,3,war,warming
3-12-war,3,12,war,warming
3-14-war,3,14,war,warming
3-16-war,3,16,war,warming
4-6-war,4,6,war,warming
4-8-war,4,8,war,warming
4-11-war,4,11,war,warming
4-15-war,4,15,war,warming
4-19-war,4,19,war,warming