ID USUARIO,Block,Plot,Treat,Collar,Extract,Treatment,freshsoil_g,KCL_L,soilm_tin,soilm_wet_g,soilm_dry_tin
1-2-con-KCl,1,2,con,1-2-con,KCl,control,6.51,0.02,2.85,10.09,10.47
1-2-war-KCl,1,2,war,1-2-war,KCl,warming,6.53,0.02,2.87,10.06,10.84
1-4-con-KCl,1,4,con,1-4-con,KCl,control,6.52,0.02,2.84,10.03,10.4
1-4-war-KCl,1,4,war,1-4-war,KCl,warming,6.52,0.02,3.57,10.12,11.45
1-5-con-KCl,1,5,con,1-5-con,KCl,control,6.54,0.02,2.86,9.98,10.38
1-5-war-KCl,1,5,war,1-5-war,KCl,warming,6.5,0.02,3.56,9.92,11.76
1-7-con-KCl,1,7,con,1-7-con,KCl,control,6.51,0.02,2.85,10.11,10.7
1-7-war-KCl,1,7,war,1-7-war,KCl,warming,6.53,0.02,3.54,10.18,11.45
1-9-con-KCl,1,9,con,1-9-con,KCl,control,6.51,0.02,3.54,9.97,11.24
1-9-war-KCl,1,9,war,1-9-war,KCl,warming,6.53,0.02,2.86,9.95,10.51
2-17-con-KCl,2,17,con,2-17-con,KCl,control,6.48,0.02,3.57,9.99,10.57
2-17-war-KCl,2,17,war,2-17-war,KCl,warming,6.55,0.02,17.72,10.03,25.36
2-18-con-KCl,2,18,con,2-18-con,KCl,control,6.48,0.02,3.54,10.09,11.38
2-18-war-KCl,2,18,war,2-18-war,KCl,warming,6.54,0.02,3.55,10.08,11.74
2-20-con-KCl,2,20,con,2-20-con,KCl,control,6.5,0.02,2.86,10.06,10.42
2-20-war-KCl,2,20,war,2-20-war,KCl,warming,6.53,0.02,3.62,10.01,11.59
3-3-con-KCl,3,3,con,3-3-con,KCl,control,6.66,0.02,3.57,10.03,10.76
3-3-war-KCl,3,3,war,3-3-war,KCl,warming,6.69,0.02,2.95,9.95,10.84
3-12-con-KCl,3,12,con,3-12-con,KCl,control,6.66,0.02,3.57,10.05,11.02
3-12-war-KCl,3,12,war,3-12-war,KCl,warming,6.63,0.02,3.57,10.13,11.22
3-14-con-KCl,3,14,con,3-14-con,KCl,control,6.63,0.02,3.55,10.16,10.42
3-14-war-KCl,3,14,war,3-14-war,KCl,warming,6.42,0.02,3.55,10.13,11.37
3-16-con-KCl,3,16,con,3-16-con,KCl,control,6.49,0.02,3.57,10.1,10.25
3-16-war-KCl,3,16,war,3-16-war,KCl,warming,6.54,0.02,3.6,10.01,11.27
4-6-con-KCl,4,6,con,4-6-con,KCl,control,6.58,0.02,2.71,10.09,10.16
4-6-war-KCl,4,6,war,4-6-war,KCl,warming,6.45,0.02,3.57,9.99,11.74
4-8-con-KCl,4,8,con,4-8-con,KCl,control,6.69,0.02,3.53,10.05,10.59
4-8-war-KCl,4,8,war,4-8-war,KCl,warming,6.39,0.02,3.53,10.07,10.96
4-11-con-KCl,4,11,con,4-11-con,KCl,control,6.55,0.02,3.54,9.93,10.76
4-11-war-KCl,4,11,war,4-11-war,KCl,warming,6.51,0.02,3.59,9.97,11.28
4-15-con-KCl,4,15,con,4-15-con,KCl,control,6.56,0.02,1.03,10.02,8.99
4-15-war-KCl,4,15,war,4-15-war,KCl,warming,6.77,0.02,3.56,10.02,11.35
4-19-con-KCl,4,19,con,4-19-con,KCl,control,6.43,0.02,3.59,10.06,11.01
4-19-war-KCl,4,19,war,4-19-war,KCl,warming,6.59,0.02,18.34,10.06,26.84